epoch | train_policy_loss - train_value_loss - train_total_loss | val_policy_loss - val_value_loss - val_total_loss | top1_acc - top5_acc | saved
01 | 4.6979 - 0.8688 - 4.7066 | 3.9068 - 0.8657 - 3.9155 | 0.2471 - 0.5460 | 1
02 | 3.6953 - 0.8615 - 3.7039 | 3.5646 - 0.8583 - 3.5732 | 0.3009 - 0.6292 | 1
03 | 3.4415 - 0.8557 - 3.4500 | 3.3918 - 0.8533 - 3.4003 | 0.3327 - 0.6761 | 1
04 | 3.2917 - 0.8508 - 3.3002 | 3.2810 - 0.8471 - 3.2895 | 0.3538 - 0.7051 | 1
05 | 3.1856 - 0.8461 - 3.1940 | 3.1959 - 0.8448 - 3.2043 | 0.3706 - 0.7294 | 1
06 | 3.1049 - 0.8426 - 3.1133 | 3.1418 - 0.8429 - 3.1502 | 0.3817 - 0.7459 | 1
07 | 3.0413 - 0.8398 - 3.0497 | 3.0901 - 0.8387 - 3.0985 | 0.3900 - 0.7583 | 1
08 | 2.9899 - 0.8376 - 2.9983 | 3.0613 - 0.8347 - 3.0696 | 0.3947 - 0.7674 | 1
09 | 2.9474 - 0.8360 - 2.9558 | 3.0292 - 0.8366 - 3.0376 | 0.4014 - 0.7760 | 1
10 | 2.9112 - 0.8348 - 2.9196 | 3.0070 - 0.8387 - 3.0154 | 0.4076 - 0.7806 | 1
11 | 2.8804 - 0.8337 - 2.8887 | 2.9861 - 0.8381 - 2.9945 | 0.4116 - 0.7872 | 1
12 | 2.8537 - 0.8327 - 2.8620 | 2.9763 - 0.8338 - 2.9846 | 0.4133 - 0.7902 | 1
13 | 2.8296 - 0.8322 - 2.8380 | 2.9624 - 0.8318 - 2.9707 | 0.4169 - 0.7933 | 1
14 | 2.8083 - 0.8311 - 2.8166 | 2.9506 - 0.8317 - 2.9589 | 0.4172 - 0.7953 | 1
15 | 2.7886 - 0.8305 - 2.7969 | 2.9393 - 0.8296 - 2.9476 | 0.4216 - 0.7986 | 1
16 | 2.7710 - 0.8300 - 2.7793 | 2.9275 - 0.8292 - 2.9358 | 0.4231 - 0.8011 | 1
17 | 2.7546 - 0.8294 - 2.7629 | 2.9239 - 0.8290 - 2.9322 | 0.4257 - 0.8043 | 1
18 | 2.7397 - 0.8291 - 2.7479 | 2.9165 - 0.8287 - 2.9248 | 0.4277 - 0.8048 | 1
19 | 2.7255 - 0.8287 - 2.7338 | 2.9232 - 0.8296 - 2.9315 | 0.4267 - 0.8051 | 0
20 | 2.7122 - 0.8282 - 2.7204 | 2.9120 - 0.8286 - 2.9203 | 0.4274 - 0.8063 | 0
21 | 2.6999 - 0.8278 - 2.7081 | 2.9119 - 0.8280 - 2.9202 | 0.4276 - 0.8067 | 0
22 | 2.6883 - 0.8275 - 2.6965 | 2.9069 - 0.8272 - 2.9151 | 0.4312 - 0.8086 | 1
23 | 2.6770 - 0.8274 - 2.6853 | 2.9110 - 0.8273 - 2.9193 | 0.4312 - 0.8090 | 1
24 | 2.6669 - 0.8272 - 2.6751 | 2.9083 - 0.8291 - 2.9166 | 0.4298 - 0.8091 | 0
25 | 2.6569 - 0.8270 - 2.6651 | 2.9052 - 0.8281 - 2.9135 | 0.4327 - 0.8090 | 1
26 | 2.6473 - 0.8271 - 2.6556 | 2.9005 - 0.8299 - 2.9088 | 0.4343 - 0.8109 | 1
27 | 2.6384 - 0.8269 - 2.6467 | 2.9053 - 0.8289 - 2.9136 | 0.4320 - 0.8108 | 0
28 | 2.6297 - 0.8267 - 2.6380 | 2.9038 - 0.8283 - 2.9121 | 0.4335 - 0.8115 | 0
29 | 2.6216 - 0.8266 - 2.6298 | 2.9111 - 0.8273 - 2.9193 | 0.4318 - 0.8099 | 0
30 | 2.5476 - 0.8245 - 2.5558 | 2.8844 - 0.8265 - 2.8926 | 0.4378 - 0.8165 | 1
